"Comment","Designator","Footprint","LCSC Part #"
"12p","C112,C114","C_0402_1005Metric","C1547"
"20p","C109,C113","C_0402_1005Metric","C1554"
"4n7","C115","C_0402_1005Metric","C1538"
"100n","C102,C104,C105,C106,C107,C108,C110,C116,C117,C201,C202,C203,C204,C205,C206,C207,C208,C210,C212,C303,C304","C_0402_1005Metric","C307331"
"1µ","C301,C302","C_0603_1608Metric","C15849"
"10µ","C101,C103,C209,C211","C_1206_3216Metric","C13585"
"1N4148WS","D103,D104","D_SOD-323","C2128"
"LED","D101,D301,D401,D402,D403,D404,D405,D406,D407,D408","LED_0603_1608Metric","C2286"
"Polyfuse_Small","F101","Fuse_2920_7451Metric","C495350"
"FerriteBead_Small","FB301","L_0603_1608Metric","C1002"
"USB_B_Micro","J301","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","C132562"
"BC860","Q101","SOT-23","C475637"
"60","R110,R112","R_1206_3216Metric","C57572"
"100","R109,R111","R_0402_1005Metric","C25076"
"1k","R101,R102,R104,R105,R106,R301,R401,R402,R403,R404,R405,R406,R407,R408","R_0402_1005Metric","C11702"
"2k","R201,R202,R203,R207,R208,R209,R213,R215","R_0402_1005Metric","C4109"
"10k","R103,R204,R205,R206,R210,R211,R212,R214,R216","R_0402_1005Metric","C25744"
"1M","R107","R_0402_1005Metric","C26083"
"ACS712ELCTR-05B","U201,U202,U203,U204,U205,U206,U207,U208","SOIC-8_3.9x4.9mm_P1.27mm","C44471"
"AMS1117-3.3","U101","SOT-223-3_TabPin2","C6186"
"AMS1117-5.0","U209","SOT-223-3_TabPin2","C6187"
"ATECC608B-MAVDA-S","U106","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C17350254"
"CH340N","U302","SOP-8_3.9x4.9mm_P1.27mm","C2977777"
"EL817S1(C)(TU)-F","U102,U103","SMDIP-4_W9.53mm","C106900"
"STM32F103CBTx","U104","LQFP-48_7x7mm_P0.5mm","C8304"
"TJA1042T","U105","SOIC-8_3.9x4.9mm_P1.27mm","C53670"
"USBLC6-2SC6","U303","SOT-23-6","C2827654"
"XC6206P332MR","U301","SOT-23-3","C5446"
"32k","Y102","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y101","Crystal_SMD_HC49-SD","C12674"
