Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","10µ","C_1206_3216Metric",133.0000,-67.7500,180.0000,top
"C102","100n","C_0402_1005Metric",133.7500,-65.7500,180.0000,top
"C103","10µ","C_1206_3216Metric",125.2500,-71.7500,90.0000,top
"C104","100n","C_0402_1005Metric",136.5000,-74.5000,-90.0000,top
"C105","100n","C_0402_1005Metric",126.1500,-102.1125,0.0000,top
"C106","100n","C_0402_1005Metric",125.8500,-110.3125,0.0000,top
"C107","100n","C_0402_1005Metric",119.9500,-99.5125,90.0000,top
"C108","100n","C_0402_1005Metric",116.3500,-109.8125,180.0000,top
"C109","20p","C_0402_1005Metric",129.2500,-94.5125,90.0000,top
"C110","100n","C_0402_1005Metric",120.2700,-71.5000,0.0000,top
"C112","12p","C_0402_1005Metric",130.0500,-98.6125,-90.0000,top
"C113","20p","C_0402_1005Metric",114.2500,-94.4125,90.0000,top
"C114","12p","C_0402_1005Metric",124.5500,-98.6125,-90.0000,top
"C115","4n7","C_0402_1005Metric",118.0000,-145.5000,90.0000,top
"C116","100n","C_0402_1005Metric",116.0000,-83.7300,90.0000,top
"C117","100n","C_0402_1005Metric",128.7500,-83.7300,90.0000,top
"C201","100n","C_0402_1005Metric",105.5000,-56.2500,-90.0000,top
"C202","100n","C_0402_1005Metric",105.5000,-71.2500,-90.0000,top
"C203","100n","C_0402_1005Metric",105.5000,-86.2500,-90.0000,top
"C204","100n","C_0402_1005Metric",105.5000,-101.2500,-90.0000,top
"C205","100n","C_0402_1005Metric",105.5000,-116.2500,-90.0000,top
"C206","100n","C_0402_1005Metric",105.5000,-131.2500,-90.0000,top
"C207","100n","C_0402_1005Metric",105.5000,-146.2500,-90.0000,top
"C208","100n","C_0402_1005Metric",105.5000,-161.2500,-90.0000,top
"C209","10µ","C_1206_3216Metric",135.7500,-53.5000,0.0000,top
"C210","100n","C_0402_1005Metric",135.0000,-51.5000,0.0000,top
"C211","10µ","C_1206_3216Metric",125.0000,-57.5000,90.0000,top
"C212","100n","C_0402_1005Metric",136.5000,-60.0000,-90.0000,top
"C301","1µ","C_0603_1608Metric",136.7500,-149.0000,0.0000,top
"C302","1µ","C_0603_1608Metric",129.7500,-149.0000,90.0000,top
"C303","100n","C_0402_1005Metric",128.2500,-148.9800,90.0000,top
"C304","100n","C_0402_1005Metric",124.0000,-134.2500,90.0000,top
"D101","LED","LED_0603_1608Metric",137.5000,-70.2125,-90.0000,top
"D103","1N4148WS","D_SOD-323",105.2500,-41.0000,-90.0000,top
"D104","1N4148WS","D_SOD-323",120.7500,-73.2500,0.0000,top
"D301","LED","LED_0603_1608Metric",132.5000,-152.0000,180.0000,top
"D401","LED","LED_0603_1608Metric",132.7875,-133.5000,0.0000,top
"D402","LED","LED_0603_1608Metric",132.7875,-131.0000,0.0000,top
"D403","LED","LED_0603_1608Metric",132.7875,-128.5000,0.0000,top
"D404","LED","LED_0603_1608Metric",132.7875,-126.0000,0.0000,top
"D405","LED","LED_0603_1608Metric",132.7875,-123.5000,0.0000,top
"D406","LED","LED_0603_1608Metric",132.7875,-121.0000,0.0000,top
"D407","LED","LED_0603_1608Metric",132.7875,-118.5000,0.0000,top
"D408","LED","LED_0603_1608Metric",132.7875,-116.0000,0.0000,top
"F101","Polyfuse_Small","Fuse_2920_7451Metric",101.2500,-48.7500,0.0000,top
"FB301","FerriteBead_Small","L_0603_1608Metric",136.7500,-135.7500,0.0000,top
"J301","USB_B_Micro","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal",138.5500,-141.4500,90.0000,top
"Q101","BC860","SOT-23",122.6875,-40.5000,180.0000,top
"R101","1k","R_0402_1005Metric",105.2500,-44.0000,-90.0000,top
"R102","1k","R_0402_1005Metric",137.4950,-67.2525,90.0000,top
"R103","10k","R_0402_1005Metric",137.5000,-103.0000,180.0000,top
"R104","1k","R_0402_1005Metric",114.5000,-102.5000,180.0000,top
"R105","1k","R_0402_1005Metric",120.2400,-70.0000,0.0000,top
"R106","1k","R_0402_1005Metric",119.7500,-50.7500,90.0000,top
"R107","1M","R_0402_1005Metric",121.7600,-99.9125,180.0000,top
"R109","100","R_0402_1005Metric",120.0000,-133.0000,90.0000,top
"R110","60","R_1206_3216Metric",121.0000,-145.0000,180.0000,top
"R111","100","R_0402_1005Metric",116.0000,-133.0000,90.0000,top
"R112","60","R_1206_3216Metric",115.0000,-145.0000,180.0000,top
"R201","2k","R_0402_1005Metric",106.0000,-54.4000,0.0000,top
"R202","2k","R_0402_1005Metric",106.0000,-69.4000,0.0000,top
"R203","2k","R_0402_1005Metric",106.0000,-84.4000,0.0000,top
"R204","10k","R_0402_1005Metric",108.0000,-55.0000,90.0000,top
"R205","10k","R_0402_1005Metric",108.0000,-70.0000,90.0000,top
"R206","10k","R_0402_1005Metric",108.0000,-85.0000,90.0000,top
"R207","2k","R_0402_1005Metric",106.0000,-99.4000,0.0000,top
"R208","2k","R_0402_1005Metric",106.0000,-114.4000,0.0000,top
"R209","2k","R_0402_1005Metric",106.0000,-129.4000,0.0000,top
"R210","10k","R_0402_1005Metric",108.0000,-100.0000,90.0000,top
"R211","10k","R_0402_1005Metric",108.0000,-115.0000,90.0000,top
"R212","10k","R_0402_1005Metric",108.0000,-130.0000,90.0000,top
"R213","2k","R_0402_1005Metric",106.0000,-144.4000,0.0000,top
"R214","10k","R_0402_1005Metric",108.0000,-145.0000,90.0000,top
"R215","2k","R_0402_1005Metric",106.0000,-159.4000,0.0000,top
"R216","10k","R_0402_1005Metric",108.0000,-160.0000,90.0000,top
"R301","1k","R_0402_1005Metric",135.2500,-152.0000,180.0000,top
"R401","1k","R_0402_1005Metric",129.8250,-133.4550,180.0000,top
"R402","1k","R_0402_1005Metric",129.8250,-130.9550,180.0000,top
"R403","1k","R_0402_1005Metric",129.8250,-128.4550,180.0000,top
"R404","1k","R_0402_1005Metric",129.8250,-125.9550,180.0000,top
"R405","1k","R_0402_1005Metric",129.8250,-123.4550,180.0000,top
"R406","1k","R_0402_1005Metric",129.8250,-120.9550,180.0000,top
"R407","1k","R_0402_1005Metric",129.8250,-118.4550,180.0000,top
"R408","1k","R_0402_1005Metric",129.8250,-115.9550,180.0000,top
"U101","AMS1117-3.3","SOT-223-3_TabPin2",131.2500,-73.2500,180.0000,top
"U102","EL817S1(C)(TU)-F","SMDIP-4_W9.53mm",112.7500,-41.0000,0.0000,top
